Class Name,Accuracy
"('starfish', 'sea star')",84.0
"('sea urchin',)",64.0
"('sea cucumber', 'holothurian')",70.0
"('wood rabbit', 'cottontail', 'cottontail rabbit')",76.0
"('hare',)",58.0
"('Angora', 'Angora rabbit')",96.0
"('hamster',)",94.0
"('porcupine', 'hedgehog')",72.0
"('fox squirrel', 'eastern fox squirrel', 'Sciurus niger')",88.0
"('marmot',)",90.0
"('beaver',)",78.0
"('guinea pig', 'Cavia cobaya')",86.0
"('sorrel',)",100.0
"('zebra',)",96.0
"('hog', 'pig', 'grunter', 'squealer', 'Sus scrofa')",68.0
"('wild boar', 'boar', 'Sus scrofa')",62.0
"('warthog',)",76.0
"('hippopotamus', 'hippo', 'river horse', 'Hippopotamus amphibius')",82.0
"('ox',)",34.0
"('water buffalo', 'water ox', 'Asiatic buffalo', 'Bubalus bubalis')",68.0
"('bison',)",84.0
"('ram', 'tup')",56.0
"('bighorn', 'bighorn sheep', 'cimarron', 'Rocky Mountain bighorn', 'Rocky Mountain sheep', 'Ovis canadensis')",64.0
"('ibex', 'Capra ibex')",64.0
"('hartebeest',)",80.0
"('impala', 'Aepyceros melampus')",94.0
"('gazelle',)",26.0
"('Arabian camel', 'dromedary', 'Camelus dromedarius')",84.0
"('llama',)",80.0
"('weasel',)",36.0
"('mink',)",62.0
"('polecat', 'fitch', 'foulmart', 'foumart', 'Mustela putorius')",48.0
"('black-footed ferret', 'ferret', 'Mustela nigripes')",20.0
"('otter',)",56.0
"('skunk', 'polecat', 'wood pussy')",88.0
"('badger',)",84.0
"('armadillo',)",86.0
"('three-toed sloth', 'ai', 'Bradypus tridactylus')",76.0
"('orangutan', 'orang', 'orangutang', 'Pongo pygmaeus')",88.0
"('gorilla', 'Gorilla gorilla')",76.0
"('chimpanzee', 'chimp', 'Pan troglodytes')",72.0
"('gibbon', 'Hylobates lar')",66.0
"('siamang', 'Hylobates syndactylus', 'Symphalangus syndactylus')",54.0
"('guenon', 'guenon monkey')",58.0
"('patas', 'hussar monkey', 'Erythrocebus patas')",56.0
"('baboon',)",72.0
"('macaque',)",56.0
"('langur',)",34.0
"('colobus', 'colobus monkey')",66.0
"('proboscis monkey', 'Nasalis larvatus')",40.0
"('marmoset',)",56.0
"('capuchin', 'ringtail', 'Cebus capucinus')",60.0
"('howler monkey', 'howler')",30.0
"('titi', 'titi monkey')",44.0
"('spider monkey', 'Ateles geoffroyi')",38.0
"('squirrel monkey', 'Saimiri sciureus')",80.0
"('Madagascar cat', 'ring-tailed lemur', 'Lemur catta')",86.0
"('indri', 'indris', 'Indri indri', 'Indri brevicaudatus')",70.0
"('Indian elephant', 'Elephas maximus')",72.0
"('African elephant', 'Loxodonta africana')",22.0
"('lesser panda', 'red panda', 'panda', 'bear cat', 'cat bear', 'Ailurus fulgens')",92.0
