Class Name,Accuracy
oboe,30.0
ocarina,80.0
odometer,100.0
oil filter,34.285714285714285
pipe organ,77.14285714285714
oscilloscope,90.0
overskirt,25.714285714285715
bullock cart,68.57142857142857
oxygen mask,50.0
product packet / packaging,18.571428571428573
paddle,10.0
paddle wheel,50.0
padlock,74.28571428571429
paintbrush,40.0
pajamas,40.0
palace,50.0
pan flute,50.0
paper towel,10.0
parachute,80.0
parallel bars,1.4285714285714286
park bench,27.142857142857142
parking meter,30.0
railroad car,20.0
patio,60.0
payphone,71.42857142857143
pedestal,11.428571428571429
pencil case,40.0
pencil sharpener,4.285714285714286
perfume,80.0
Petri dish,70.0
photocopier,90.0
plectrum,100.0
Pickelhaube,20.0
picket fence,70.0
pickup truck,68.57142857142857
pier,20.0
piggy bank,70.0
pill bottle,40.0
pillow,40.0
ping-pong ball,40.0
pinwheel,50.0
pirate ship,80.0
drink pitcher,1.4285714285714286
block plane,60.0
planetarium,50.0
plastic bag,50.0
plate rack,30.0
farm plow,18.571428571428573
plunger,20.0
Polaroid camera,70.0
pole,27.142857142857142
police van,47.142857142857146
poncho,51.42857142857143
pool table,78.57142857142857
soda bottle,60.0
plant pot,11.428571428571429
potter's wheel,58.57142857142857
power drill,50.0
prayer rug,60.0
printer,20.0
prison,80.0
projectile,0.0
projector,31.428571428571427
hockey puck,70.0
punching bag,70.0
purse,10.0
quill,40.0
quilt,30.0
race car,70.0
racket,70.0
radiator,27.142857142857142
radio,22.857142857142858
radio telescope,100.0
rain barrel,40.0
recreational vehicle,100.0
fishing casting reel,42.857142857142854
reflex camera,61.42857142857143
refrigerator,60.0
remote control,90.0
restaurant,52.857142857142854
revolver,68.57142857142857
rifle,30.0
rocking chair,48.57142857142857
rotisserie,80.0
eraser,50.0
rugby ball,90.0
ruler measuring stick,20.0
sneaker,70.0
safe,12.857142857142858
safety pin,20.0
salt shaker,40.0
sandal,50.0
sarong,27.142857142857142
saxophone,60.0
scabbard,20.0
weighing scale,50.0
school bus,90.0
schooner,67.14285714285714
scoreboard,90.0
CRT monitor,34.285714285714285
screw,62.857142857142854
screwdriver,12.857142857142858
seat belt,48.57142857142857
sewing machine,60.0
shield,7.142857142857143
shoe store,50.0
shoji screen / room divider,67.14285714285714
shopping basket,20.0
shopping cart,68.57142857142857
shovel,28.571428571428573
shower cap,80.0
shower curtain,71.42857142857143
ski,90.0
balaclava ski mask,70.0
sleeping bag,48.57142857142857
slide rule,52.857142857142854
sliding door,42.857142857142854
slot machine,55.714285714285715
snorkel,60.0
snowmobile,80.0
snowplow,95.71428571428571
soap dispenser,40.0
soccer ball,90.0
sock,70.0
solar thermal collector,32.857142857142854
sombrero,77.14285714285714
soup bowl,45.714285714285715
keyboard space bar,21.428571428571427
space heater,50.0
space shuttle,78.57142857142857
spatula,20.0
motorboat,60.0
spider web,72.85714285714286
spindle,10.0
sports car,60.0
spotlight,12.857142857142858
stage,30.0
steam locomotive,90.0
through arch bridge,31.428571428571427
steel drum,70.0
stethoscope,80.0
scarf,54.285714285714285
stone wall,40.0
stopwatch,60.0
stove,32.857142857142854
strainer,10.0
tram,60.0
stretcher,70.0
couch,60.0
stupa,90.0
submarine,42.857142857142854
suit,42.857142857142854
sundial,50.0
sunglass,10.0
sunglasses,15.714285714285714
sunscreen,27.142857142857142
suspension bridge,100.0
mop,55.714285714285715
sweatshirt,27.142857142857142
swim trunks / shorts,85.71428571428571
swing,90.0
electrical switch,60.0
syringe,28.571428571428573
table lamp,40.0
tank,60.0
tape player,40.0
teapot,80.0
teddy bear,47.142857142857146
television,22.857142857142858
tennis ball,18.571428571428573
thatched roof,90.0
front curtain,60.0
thimble,47.142857142857146
threshing machine,40.0
throne,30.0
tile roof,48.57142857142857
toaster,10.0
tobacco shop,75.71428571428571
toilet seat,40.0
torch,72.85714285714286
totem pole,100.0
tow truck,40.0
toy store,60.0
tractor,70.0
semi-trailer truck,70.0
tray,40.0
trench coat,44.285714285714285
tricycle,68.57142857142857
trimaran,40.0
tripod,52.857142857142854
triumphal arch,72.85714285714286
trolleybus,87.14285714285714
trombone,60.0
hot tub,0.0
turnstile,81.42857142857143
typewriter keyboard,80.0
umbrella,47.142857142857146
unicycle,60.0
upright piano,40.0
vacuum cleaner,55.714285714285715
vase,47.142857142857146
vaulted or arched ceiling,40.0
velvet fabric,10.0
vending machine,80.0
vestment,70.0
viaduct,25.714285714285715
violin,68.57142857142857
volleyball,80.0
waffle iron,30.0
wall clock,40.0
wallet,27.142857142857142
wardrobe,50.0
military aircraft,55.714285714285715
sink,50.0
washing machine,70.0
water bottle,17.142857142857142
water jug,32.857142857142854
water tower,100.0
whiskey jug,60.0
whistle,22.857142857142858
hair wig,70.0
window screen,20.0
window shade,40.0
Windsor tie,20.0
wine bottle,22.857142857142858
airplane wing,60.0
wok,31.428571428571427
wooden spoon,50.0
wool,10.0
split-rail fence,40.0
shipwreck,54.285714285714285
sailboat,20.0
yurt,72.85714285714286
website,77.14285714285714
comic book,90.0
crossword,50.0
traffic or street sign,58.57142857142857
traffic light,64.28571428571429
